assay_combination,entropy1,mi/entropy1,entropy2,mi/entropy2,mutual_info,joint_entropy,mi/joint
TA98|TA1537,0.46833963,0.435987021,0.411726538,0.49593597,0.20419,0.67587609,0.30211159
TA98|TA1537_S9,0.380946586,0.279881758,0.442408084,0.240999213,0.10662,0.716733263,0.14875827
TA98|TA102,0.521833368,0.14372404,0.576857127,0.130014862,0.075,1.023692001,0.073264224
TA98|TA102_S9,0.489522652,0.174762086,0.553383616,0.154594385,0.08555,0.957358064,0.089360505
TA98_S9|TA1537,0.51473693,0.247427361,0.35403764,0.359735762,0.12736,0.741419063,0.171778696
TA98_S9|TA1537_S9,0.544668101,0.412453014,0.482812197,0.46529479,0.22465,0.802831156,0.279822225
TA98_S9|TA102,0.563733244,0.107923385,0.538141185,0.113055833,0.06084,1.041035023,0.058441838
TA98_S9|TA102_S9,0.566227261,0.23794333,0.549039543,0.245392161,0.13473,0.980540759,0.137403773
TA1537|TA1537_S9,0.3661613,0.599189482,0.44603509,0.491889551,0.2194,0.592793186,0.370112217
TA1537|TA102,0.361663471,0.246969924,0.586117574,0.152392632,0.08932,0.858462332,0.104046499
TA1537|TA102_S9,0.307334745,0.3381004,0.582030949,0.178530025,0.10391,0.785459793,0.13229194
TA1537_S9|TA102,0.419232995,0.202560392,0.55449864,0.153147355,0.08492,0.888809747,0.095543507
TA1537_S9|TA102_S9,0.439496987,0.344735014,0.574635698,0.263662701,0.15151,0.862623675,0.175638583
TA102|TA102_S9,0.461326751,0.490151502,0.538079537,0.420235271,0.22612,0.773287866,0.292413744
