method,assay,round,bin,MCC
dnn,NR-AR-LBD,16,0.4,0.15038300728353693
dnn,NR-AR-LBD,16,0.6,0.5770791585966312
dnn,NR-AR-LBD,16,1,0.8507111474365273
dnn,NR-AR-LBD,17,0.4,0.0
dnn,NR-AR-LBD,17,0.6,0.6028996869090485
dnn,NR-AR-LBD,17,1,0.7944923241785299
dnn,NR-AR-LBD,18,0.4,0.0
dnn,NR-AR-LBD,18,0.6,0.6148303448962892
dnn,NR-AR-LBD,18,1,0.8507111474365273
dnn,NR-AR-LBD,19,0.4,0.18900614984607078
dnn,NR-AR-LBD,19,0.6,0.5430157420037827
dnn,NR-AR-LBD,19,1,0.8081315669255368
dnn,NR-AhR,0,0.4,0.41172685122521085
dnn,NR-AhR,0,0.6,0.5613521722684246
dnn,NR-AhR,0,1,0.711821967296557
dnn,NR-AhR,1,0.4,0.46168461342358236
dnn,NR-AhR,1,0.6,0.5562968133836984
dnn,NR-AhR,1,1,0.7940295670913547
dnn,NR-AhR,2,0.4,0.4417425228802799
dnn,NR-AhR,2,0.6,0.5798219944228415
dnn,NR-AhR,2,1,0.8171457243673489
dnn,NR-AhR,3,0.4,0.4304163059462794
dnn,NR-AhR,3,0.6,0.5762677504624902
dnn,NR-AhR,3,1,0.7940295670913547
dnn,NR-AhR,4,0.4,0.436267532415358
dnn,NR-AhR,4,0.6,0.5806769665866938
dnn,NR-AhR,4,1,0.62085486095981
dnn,NR-AhR,5,0.4,0.43676108711861694
dnn,NR-AhR,5,0.6,0.5750665608052073
dnn,NR-AhR,5,1,0.7940295670913547
dnn,NR-AhR,6,0.4,0.47279591033949153
dnn,NR-AhR,6,0.6,0.5560142378735862
dnn,NR-AhR,6,1,0.711821967296557
dnn,NR-AhR,7,0.4,0.40567872853605746
dnn,NR-AhR,7,0.6,0.4804091562464249
dnn,NR-AhR,7,1,0.7940295670913547
dnn,NR-AhR,8,0.4,0.45089675872888574
dnn,NR-AhR,8,0.6,0.5265801987814984
dnn,NR-AhR,8,1,0.711821967296557
dnn,NR-AhR,9,0.4,0.45890736283764766
dnn,NR-AhR,9,0.6,0.5750665608052073
dnn,NR-AhR,9,1,0.7940295670913547
dnn,NR-AhR,10,0.4,0.436267532415358
dnn,NR-AhR,10,0.6,0.5609168433956808
dnn,NR-AhR,10,1,0.7940295670913547
dnn,NR-AhR,11,0.4,0.45201107150359826
dnn,NR-AhR,11,0.6,0.47569330137456417
dnn,NR-AhR,11,1,0.62085486095981
dnn,NR-AhR,12,0.4,0.47575772827120244
dnn,NR-AhR,12,0.6,0.5217293906698539
dnn,NR-AhR,12,1,0.711821967296557
dnn,NR-AhR,13,0.4,0.4211404953720657
dnn,NR-AhR,13,0.6,0.52754636378957
dnn,NR-AhR,13,1,0.7940295670913547
dnn,NR-AhR,14,0.4,0.4510818039573969
dnn,NR-AhR,14,0.6,0.5464365940743589
dnn,NR-AhR,14,1,0.7940295670913547
dnn,NR-AhR,15,0.4,0.4958581420939722
dnn,NR-AhR,15,0.6,0.5432636581891892
dnn,NR-AhR,15,1,0.711821967296557
dnn,NR-AhR,16,0.4,0.48534889479565224
dnn,NR-AhR,16,0.6,0.5365549687612727
dnn,NR-AhR,16,1,0.7940295670913547
dnn,NR-AhR,17,0.4,0.4460463776127012
dnn,NR-AhR,17,0.6,0.5316160211556914
dnn,NR-AhR,17,1,0.8171457243673489
dnn,NR-AhR,18,0.4,0.4563063785066645
dnn,NR-AhR,18,0.6,0.5902176656356704
dnn,NR-AhR,18,1,0.7940295670913547
dnn,NR-AhR,19,0.4,0.4460463776127012
dnn,NR-AhR,19,0.6,0.4961117749903317
dnn,NR-AhR,19,1,0.711821967296557
dnn,NR-ER,0,0.4,0.10199493633287077
dnn,NR-ER,0,0.6,0.3131270640446533
dnn,NR-ER,0,1,0.42814170114112915
dnn,NR-ER,1,0.4,0.12458688177232449
dnn,NR-ER,1,0.6,0.37038208369639253
dnn,NR-ER,1,1,0.46861260379162356
dnn,NR-ER,2,0.4,0.08967400199761345
dnn,NR-ER,2,0.6,0.340380171893648
dnn,NR-ER,2,1,0.48584290709614
dnn,NR-ER,3,0.4,0.15599376990695765
dnn,NR-ER,3,0.6,0.33505757588213797
dnn,NR-ER,3,1,0.5071078286542183
dnn,NR-ER,4,0.4,0.15599376990695765
dnn,NR-ER,4,0.6,0.32372370046839744
dnn,NR-ER,4,1,0.42814170114112915
dnn,NR-ER,5,0.4,0.1775069012060751
dnn,NR-ER,5,0.6,0.37323699406310606
dnn,NR-ER,5,1,0.42814170114112915
dnn,NR-ER,6,0.4,0.15599376990695765
dnn,NR-ER,6,0.6,0.3603074594933347
dnn,NR-ER,6,1,0.42814170114112915
dnn,NR-ER,7,0.4,0.15599376990695765
dnn,NR-ER,7,0.6,0.340380171893648
dnn,NR-ER,7,1,0.42814170114112915
dnn,NR-ER,8,0.4,0.1388116092491812
dnn,NR-ER,8,0.6,0.3603074594933347
dnn,NR-ER,8,1,0.45522922023282764
dnn,NR-ER,9,0.4,0.1553673984389025
dnn,NR-ER,9,0.6,0.35994883533205885
dnn,NR-ER,9,1,0.46861260379162356
dnn,NR-ER,10,0.4,0.10698838802446299
dnn,NR-ER,10,0.6,0.32741914064042915
dnn,NR-ER,10,1,0.4038976219520005
dnn,NR-ER,11,0.4,0.15599376990695765
dnn,NR-ER,11,0.6,0.3720705365302426
dnn,NR-ER,11,1,0.46861260379162356
dnn,NR-ER,12,0.4,0.15599376990695765
dnn,NR-ER,12,0.6,0.3885555643176122
dnn,NR-ER,12,1,0.42814170114112915
dnn,NR-ER,13,0.4,0.12458688177232449
dnn,NR-ER,13,0.6,0.3387155104585653
dnn,NR-ER,13,1,0.4832871313810011
dnn,NR-ER,14,0.4,0.15599376990695765
dnn,NR-ER,14,0.6,0.3603074594933347
dnn,NR-ER,14,1,0.5071078286542183
dnn,NR-ER,15,0.4,0.10698838802446299
dnn,NR-ER,15,0.6,0.30381124984477986
dnn,NR-ER,15,1,0.45522922023282764
dnn,NR-ER,16,0.4,0.12709239162891772
dnn,NR-ER,16,0.6,0.37947651921485653
dnn,NR-ER,16,1,0.42814170114112915
dnn,NR-ER,17,0.4,0.1388116092491812
dnn,NR-ER,17,0.6,0.3320593546690573
dnn,NR-ER,17,1,0.42814170114112915
dnn,NR-ER,18,0.4,0.1388116092491812
dnn,NR-ER,18,0.6,0.3696279053504367
dnn,NR-ER,18,1,0.49528569486252394
dnn,NR-ER,19,0.4,0.1805189500824432
