method,assay,round,bin,MCC
dnn,TA100_S9,7,0.4,0.3521664323549778
dnn,TA100_S9,7,0.6,0.48071604346858954
dnn,TA100_S9,7,1,0.6572254024084939
dnn,TA100_S9,8,0.4,0.3759828717902647
dnn,TA100_S9,8,0.6,0.49670160941063235
dnn,TA100_S9,8,1,0.7095754146068693
dnn,TA100_S9,9,0.4,0.36618191196243055
dnn,TA100_S9,9,0.6,0.5032619763044451
dnn,TA100_S9,9,1,0.6983646246195789
dnn,TA100_S9,10,0.4,0.40074252601627425
dnn,TA100_S9,10,0.6,0.5041678628629009
dnn,TA100_S9,10,1,0.7138603564075022
dnn,TA100_S9,11,0.4,0.32316275608672584
dnn,TA100_S9,11,0.6,0.4786175861719234
dnn,TA100_S9,11,1,0.668155467829419
dnn,TA100_S9,12,0.4,0.3597659990213461
dnn,TA100_S9,12,0.6,0.5314419606050961
dnn,TA100_S9,12,1,0.6871192668658703
dnn,TA100_S9,13,0.4,0.33933215031472824
dnn,TA100_S9,13,0.6,0.4498790553435826
dnn,TA100_S9,13,1,0.668155467829419
dnn,TA100_S9,14,0.4,0.392651766645794
dnn,TA100_S9,14,0.6,0.5324196133276321
dnn,TA100_S9,14,1,0.6851233747667514
dnn,TA100_S9,15,0.4,0.39251183714741195
dnn,TA100_S9,15,0.6,0.49630584192439864
dnn,TA100_S9,15,1,0.7294429708222812
dnn,TA100_S9,16,0.4,0.3575064766128581
dnn,TA100_S9,16,0.6,0.47964533774520945
dnn,TA100_S9,16,1,0.6710752830048226
dnn,TA100_S9,17,0.4,0.4098876999529766
dnn,TA100_S9,17,0.6,0.5423068424147919
dnn,TA100_S9,17,1,0.6535965398516859
dnn,TA100_S9,18,0.4,0.36618191196243055
dnn,TA100_S9,18,0.6,0.4898943366168955
dnn,TA100_S9,18,1,0.7294429708222812
dnn,TA100_S9,19,0.4,0.36618191196243055
dnn,TA100_S9,19,0.6,0.49725819898693735
dnn,TA100_S9,19,1,0.65265319446067
dnn,TA1535,0,0.4,0.4054848111953535
dnn,TA1535,0,0.6,0.546015556367328
dnn,TA1535,0,1,0.8834522085987723
dnn,TA1535,1,0.4,0.4054848111953535
dnn,TA1535,1,0.6,0.528895517128486
dnn,TA1535,1,1,0.7559289460184545
dnn,TA1535,2,0.4,0.3697741052446829
dnn,TA1535,2,0.6,0.5495387888816653
dnn,TA1535,2,1,0.8834522085987723
dnn,TA1535,3,0.4,0.4471581161258892
dnn,TA1535,3,0.6,0.5120873264613238
dnn,TA1535,3,1,0.8834522085987723
dnn,TA1535,4,0.4,0.4471581161258892
dnn,TA1535,4,0.6,0.564994487959532
dnn,TA1535,4,1,0.8834522085987723
dnn,TA1535,5,0.4,0.4906950674427778
dnn,TA1535,5,0.6,0.5998078474479802
dnn,TA1535,5,1,0.8834522085987723
dnn,TA1535,6,0.4,0.47576557598127245
dnn,TA1535,6,0.6,0.546015556367328
dnn,TA1535,6,1,0.8834522085987723
dnn,TA1535,7,0.4,0.35521104374925766
dnn,TA1535,7,0.6,0.509861174367626
dnn,TA1535,7,1,0.775
dnn,TA1535,8,0.4,0.3876244549173397
dnn,TA1535,8,0.6,0.564994487959532
dnn,TA1535,8,1,0.8834522085987723
dnn,TA1535,9,0.4,0.34777338426577153
dnn,TA1535,9,0.6,0.6659359456644736
dnn,TA1535,9,1,0.8834522085987723
dnn,TA1535,10,0.4,0.48281902427370155
dnn,TA1535,10,0.6,0.564994487959532
dnn,TA1535,10,1,0.8834522085987723
dnn,TA1535,11,0.4,0.33592926329515
dnn,TA1535,11,0.6,0.5120873264613238
dnn,TA1535,11,1,0.7559289460184545
dnn,TA1535,12,0.4,0.3876244549173397
dnn,TA1535,12,0.6,0.5998078474479802
dnn,TA1535,12,1,0.8834522085987723
dnn,TA1535,13,0.4,0.4471581161258892
dnn,TA1535,13,0.6,0.509861174367626
dnn,TA1535,13,1,0.8834522085987723
dnn,TA1535,14,0.4,0.48281902427370155
dnn,TA1535,14,0.6,0.5998078474479802
dnn,TA1535,14,1,0.8834522085987723
dnn,TA1535,15,0.4,0.285667856353437
dnn,TA1535,15,0.6,0.3911389032101542
dnn,TA1535,15,1,0.6099942813304187
dnn,TA1535,16,0.4,0.43419369226735594
dnn,TA1535,16,0.6,0.564994487959532
dnn,TA1535,16,1,0.8834522085987723
dnn,TA1535,17,0.4,0.32809079370879024
dnn,TA1535,17,0.6,0.528895517128486
dnn,TA1535,17,1,0.8834522085987723
dnn,TA1535,18,0.4,0.3697741052446829
dnn,TA1535,18,0.6,0.5854913442454547
dnn,TA1535,18,1,0.7559289460184545
dnn,TA1535,19,0.4,0.4471581161258892
dnn,TA1535,19,0.6,0.572051956399282
dnn,TA1535,19,1,0.8834522085987723
dnn,TA1535_S9,0,0.4,0.4430179321203638
dnn,TA1535_S9,0,0.6,0.6590480086895616
dnn,TA1535_S9,0,1,0.6381990126895997
dnn,TA1535_S9,1,0.4,0.4430179321203638
dnn,TA1535_S9,1,0.6,0.6590480086895616
dnn,TA1535_S9,1,1,0.6381990126895997
dnn,TA1535_S9,2,0.4,0.46655390576128225
dnn,TA1535_S9,2,0.6,0.6590480086895616
dnn,TA1535_S9,2,1,0.6381990126895997
dnn,TA1535_S9,3,0.4,0.48525965409202015
dnn,TA1535_S9,3,0.6,0.6590480086895616
dnn,TA1535_S9,3,1,0.6381990126895997
dnn,TA1535_S9,4,0.4,0.4430179321203638
dnn,TA1535_S9,4,0.6,0.6353505089825153
dnn,TA1535_S9,4,1,0.6381990126895997
dnn,TA1535_S9,5,0.4,0.4430179321203638
dnn,TA1535_S9,5,0.6,0.6849234040344506
dnn,TA1535_S9,5,1,0.6381990126895997
dnn,TA1535_S9,6,0.4,0.4430179321203638
dnn,TA1535_S9,6,0.6,0.6590480086895616
dnn,TA1535_S9,6,1,0.6381990126895997
dnn,TA1535_S9,7,0.4,0.4430179321203638
dnn,TA1535_S9,7,0.6,0.6590480086895616
dnn,TA1535_S9,7,1,0.6381990126895997
dnn,TA1535_S9,8,0.4,0.4430179321203638
dnn,TA1535_S9,8,0.6,0.6353505089825153
dnn,TA1535_S9,8,1,0.6381990126895997
dnn,TA1535_S9,9,0.4,0.46655390576128225
dnn,TA1535_S9,9,0.6,0.6849234040344506
dnn,TA1535_S9,9,1,0.6381990126895997
dnn,TA1535_S9,10,0.4,0.5086725270912946
dnn,TA1535_S9,10,0.6,0.6590480086895616
