round,assay,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
8,TA98_S9,0.9025893958076447,0.8510372815410129,0.8563535911602209,0.7451923076923077,0.9433840413318024,0.7969151670951158,0.7363155965570571
8,TA1537,0.9447115384615384,0.8152450751078538,0.8947368421052632,0.6415094339622641,0.9837829409012944,0.7472527472527473,0.7296790130842835
8,TA1537_S9,0.9375,0.8041161437659725,0.8684210526315791,0.6226415094339622,0.9759121309336088,0.7252747252747254,0.7032764247411608
8,TA102,0.8409090909090909,0.6868800299457234,0.7619047619047619,0.41025641025641024,0.8921953958450309,0.5333333333333333,0.4788615658660254
8,TA102_S9,0.934640522875817,0.7151003649635037,0.875,0.4375,0.8494525547445255,0.5833333333333334,0.5913742676298994
9,TA100,0.8810810810810811,0.8212419199559895,0.8737864077669902,0.6818181818181818,0.9289815706230229,0.7659574468085106,0.6973757577981334
9,TA100_S9,0.8597701149425288,0.8056481481481481,0.8523809523809524,0.662962962962963,0.9136728395061728,0.7458333333333332,0.6608876809684534
9,TA1535,0.9437751004016064,0.8189527241891033,0.7777777777777778,0.660377358490566,0.9789696841212634,0.7142857142857142,0.6861497254335525
9,TA1535_S9,0.957356076759062,0.7976415094339622,0.9310344827586208,0.6,0.9370545073375264,0.7297297297297297,0.727926184740721
9,TA97,0.919047619047619,0.7139748549323017,0.6666666666666666,0.4545454545454545,0.8853965183752418,0.5405405405405405,0.5088854879199284
9,TA97_S9,0.9108910891089108,0.7428571428571429,1.0,0.4857142857142857,0.974508126603935,0.6538461538461539,0.6621597982780278
9,TA98,0.8975834292289988,0.8241334621974257,0.8545454545454545,0.6844660194174758,0.9473341240902634,0.7601078167115903,0.7029362439874538
9,TA98_S9,0.9099876695437732,0.8686096759790789,0.8534031413612565,0.7836538461538461,0.9512055109070036,0.8170426065162907,0.7587077531190058
9,TA1537,0.9423076923076924,0.7896980092520401,0.9393939393939394,0.5849056603773585,0.9817038307604344,0.7209302325581395,0.7148425524916904
9,TA1537_S9,0.965,0.8839106084497852,0.9534883720930232,0.7735849056603774,0.9803708335598934,0.8541666666666667,0.8404162573544233
9,TA102,0.8465909090909091,0.7363840539023021,0.7,0.5384615384615384,0.8865805727119596,0.608695652173913,0.5221601252669718
9,TA102_S9,0.9281045751633988,0.8218521897810219,0.6470588235294118,0.6875,0.8918795620437956,0.6666666666666667,0.6267766718300586
10,TA100,0.8832432432432432,0.8341298766790446,0.8482142857142857,0.7196969696969697,0.9309299500297988,0.7786885245901641,0.704474019224344
10,TA100_S9,0.8563218390804598,0.8133333333333332,0.8111587982832618,0.7,0.913574074074074,0.7514910536779323,0.6547061569895718
10,TA1535,0.9477911646586346,0.8211999152003392,0.813953488372093,0.660377358490566,0.9786728853084588,0.7291666666666667,0.7053155061531473
10,TA1535_S9,0.9466950959488272,0.752017819706499,0.8846153846153846,0.5111111111111111,0.930083857442348,0.6478873239436619,0.6487268807006547
10,TA97,0.9047619047619048,0.6859284332688588,0.5625,0.4090909090909091,0.8863636363636365,0.4736842105263158,0.4292449694445997
10,TA97_S9,0.8960396039603961,0.7451668092386655,0.8181818181818182,0.5142857142857142,0.9726261762189904,0.6315789473684209,0.5957119818267272
10,TA98,0.9125431530494822,0.8556868602556781,0.8651685393258427,0.7475728155339806,0.9493256600623821,0.8020833333333334,0.7496165512321752
10,TA98_S9,0.9112207151664612,0.8662895458604414,0.8655913978494624,0.7740384615384616,0.9473545732874091,0.8172588832487309,0.7609364049252461
10,TA1537,0.9471153846153846,0.8166224855761735,0.9189189189189191,0.6415094339622641,0.9820156972815636,0.7555555555555555,0.7417243384112568
10,TA1537_S9,0.9425,0.8309771083682236,0.8571428571428571,0.6792452830188679,0.9786308520471972,0.7578947368421052,0.7320899866183692
10,TA102,0.8522727272727273,0.7400336889387984,0.7241379310344828,0.5384615384615384,0.8927568781583379,0.6176470588235294,0.5374488228817622
10,TA102_S9,0.9019607843137256,0.6416514598540146,0.5555555555555556,0.3125,0.8731751824817519,0.4,0.3684417398903532
11,TA100,0.8767567567567568,0.8091161234126438,0.8865979381443299,0.6515151515151515,0.9222768532526476,0.7510917030567685,0.6857957568650558
11,TA100_S9,0.8632183908045977,0.8142592592592592,0.8447488584474886,0.6851851851851852,0.916216049382716,0.7566462167689161,0.6699818438715581
11,TA1535,0.9477911646586346,0.8295102819588722,0.8,0.6792452830188679,0.9793936824252704,0.7346938775510203,0.7088617602136063
11,TA1535_S9,0.9616204690831556,0.839727463312369,0.8857142857142857,0.6888888888888889,0.9376310272536688,0.775,0.7615018280684688
11,TA97,0.9047619047619048,0.7461315280464216,0.5454545454545454,0.5454545454545454,0.8945841392649903,0.5454545454545454,0.4922630560928433
11,TA97_S9,0.915841584158416,0.7797262617621898,0.9090909090909092,0.5714285714285714,0.9654405474764756,0.7017543859649122,0.6796853386508717
11,TA98,0.907940161104718,0.8493241956976966,0.8539325842696629,0.7378640776699029,0.9430215700918156,0.7916666666666666,0.7362071195225731
11,TA98_S9,0.9050554870530211,0.8511209975762215,0.8700564971751412,0.7403846153846154,0.9456563337160352,0.8,0.7424134971765151
11,TA1537,0.9519230769230768,0.8354904101044753,0.9230769230769232,0.6792452830188679,0.9806642756900048,0.7826086956521738,0.7675353290915112
11,TA1537_S9,0.955,0.8701538796150291,0.8888888888888888,0.7547169811320755,0.9821651894948616,0.8163265306122449,0.7943182485202147
11,TA102,0.8352272727272727,0.7290847838293093,0.65625,0.5384615384615384,0.8955642897248736,0.5915492957746479,0.4933584729369115
11,TA102_S9,0.9281045751633988,0.7666514598540146,0.6923076923076923,0.5625,0.8453467153284672,0.6206896551724138,0.5852730710178102
12,TA100,0.8854054054054054,0.8231301288222619,0.895,0.678030303030303,0.9232625040113694,0.7715517241379308,0.7089671971199698
12,TA100_S9,0.8666666666666667,0.8218518518518518,0.8407079646017699,0.7037037037037037,0.9268086419753088,0.7661290322580645,0.6791197519883296
12,TA1535,0.9518072289156626,0.8234471062115751,0.8536585365853658,0.660377358490566,0.9823192707229172,0.7446808510638298,0.7257736181270118
12,TA1535_S9,0.9509594882729212,0.7841719077568134,0.8666666666666667,0.5777777777777777,0.9355345911949684,0.6933333333333332,0.6840808550206279
12,TA97,0.923809523809524,0.7768375241779497,0.65,0.5909090909090909,0.9052224371373307,0.6190476190476191,0.5776348921373052
