assay,run,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,0,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8488846352057718,0.6027397260273972,0.6211236375071365
NR-AR,1,0.9812332439678284,0.9812332439678284,0.88,0.4680851063829787,0.8249429433851138,0.6111111111111112,0.6341501194303456
NR-AR,2,0.9812332439678284,0.9812332439678284,0.88,0.4680851063829787,0.8285798424501213,0.6111111111111112,0.6341501194303456
NR-AR,3,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8438194802326439,0.6027397260273972,0.6211236375071365
NR-AR,4,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8358830891555621,0.6027397260273972,0.6211236375071365
NR-AR,5,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8449385260988,0.6027397260273972,0.6211236375071365
NR-AR,6,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8202311713170874,0.6027397260273972,0.6211236375071365
NR-AR,7,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8380328351615991,0.6027397260273972,0.6211236375071365
NR-AR,8,0.979892761394102,0.979892761394102,0.84,0.44680851063829785,0.8492821909740117,0.5833333333333334,0.6042549575550865
NR-AR,9,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8377089008319223,0.6027397260273972,0.6211236375071365
NR-AR,10,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8432010601487152,0.6027397260273972,0.6211236375071365
NR-AR,11,0.979892761394102,0.979892761394102,0.8148148148148148,0.4680851063829787,0.8329087830376206,0.5945945945945945,0.6088140096214186
NR-AR,12,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8478686593536037,0.6027397260273972,0.6211236375071365
NR-AR,13,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8322903629536922,0.6027397260273972,0.6211236375071365
NR-AR,14,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.851063829787234,0.6027397260273972,0.6211236375071365
NR-AR,15,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8299492012073916,0.6027397260273972,0.6211236375071365
NR-AR,16,0.979892761394102,0.979892761394102,0.8148148148148148,0.4680851063829787,0.8402856511816241,0.5945945945945945,0.6088140096214186
NR-AR,17,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8367076492674668,0.6027397260273972,0.6211236375071365
NR-AR,18,0.9805630026809652,0.9805630026809652,0.8461538461538461,0.4680851063829787,0.8307001398807333,0.6027397260273972,0.6211236375071365
NR-AR,19,0.9812332439678284,0.9812332439678284,0.88,0.4680851063829787,0.8426709857910624,0.6111111111111112,0.6341501194303456
NR-AR-LBD,0,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9527694221774256,0.4999999999999999,0.5138427910884749
NR-AR-LBD,1,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9502338693166608,0.4999999999999999,0.5138427910884749
NR-AR-LBD,2,0.9735336194563662,0.9735336194563662,0.7083333333333334,0.3617021276595745,0.958249996062806,0.4788732394366197,0.4947234139831007
NR-AR-LBD,3,0.9735336194563662,0.9735336194563662,0.7083333333333334,0.3617021276595745,0.9473833409452416,0.4788732394366197,0.4947234139831007
NR-AR-LBD,4,0.9735336194563662,0.9735336194563662,0.7083333333333334,0.3617021276595745,0.9487534844165866,0.4788732394366197,0.4947234139831007
NR-AR-LBD,5,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9516670078901366,0.4999999999999999,0.5138427910884749
NR-AR-LBD,6,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9491944501315024,0.4999999999999999,0.5138427910884749
NR-AR-LBD,7,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.951478022583744,0.4999999999999999,0.5138427910884749
NR-AR-LBD,8,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9544072948328268,0.4999999999999999,0.5138427910884749
NR-AR-LBD,9,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9517142542167344,0.4999999999999999,0.5138427910884749
NR-AR-LBD,10,0.974964234620887,0.974964234620887,0.75,0.3829787234042553,0.9570058427957226,0.5070422535211269,0.5252748466515509
NR-AR-LBD,11,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.95116304707309,0.4999999999999999,0.5138427910884749
NR-AR-LBD,12,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9467533899239337,0.4999999999999999,0.5138427910884749
NR-AR-LBD,13,0.974964234620887,0.974964234620887,0.75,0.3829787234042553,0.949635415846418,0.5070422535211269,0.5252748466515509
NR-AR-LBD,14,0.9735336194563662,0.9735336194563662,0.7083333333333334,0.3617021276595745,0.9546435264658172,0.4788732394366197,0.4947234139831007
NR-AR-LBD,15,0.9735336194563662,0.9735336194563662,0.7083333333333334,0.3617021276595745,0.9442965809408318,0.4788732394366197,0.4947234139831007
NR-AR-LBD,16,0.974964234620887,0.974964234620887,0.75,0.3829787234042553,0.9508323227869032,0.5070422535211269,0.5252748466515509
NR-AR-LBD,17,0.9735336194563662,0.9735336194563662,0.7083333333333334,0.3617021276595745,0.9469266264547932,0.4788732394366197,0.4947234139831007
NR-AR-LBD,18,0.9742489270386266,0.9742489270386266,0.72,0.3829787234042553,0.9521552199316504,0.4999999999999999,0.5138427910884749
NR-AR-LBD,19,0.974964234620887,0.974964234620887,0.75,0.3829787234042553,0.9514465250326788,0.5070422535211269,0.5252748466515509
NR-AhR,0,0.919236417033774,0.919236417033774,0.7887323943661971,0.3708609271523179,0.9218313363702484,0.5045045045045046,0.5063216298430127
NR-AhR,1,0.9162995594713657,0.9162995594713657,0.7681159420289855,0.3509933774834437,0.9219407090631682,0.4818181818181818,0.4835842584077684
NR-AhR,2,0.920704845814978,0.920704845814978,0.8115942028985508,0.3708609271523179,0.9230617791655956,0.509090909090909,0.5155742414060384
NR-AhR,3,0.9185022026431718,0.9185022026431718,0.7941176470588235,0.3576158940397351,0.9179048566944292,0.4931506849315069,0.4988664881437896
NR-AhR,4,0.920704845814978,0.920704845814978,0.8028169014084507,0.3774834437086093,0.9253640743515568,0.5135135135135135,0.516841836397393
NR-AhR,5,0.92143906020558,0.92143906020558,0.8055555555555556,0.3841059602649007,0.922044613121442,0.5201793721973095,0.5227312834084018
NR-AhR,6,0.9162995594713657,0.9162995594713657,0.7761194029850746,0.3443708609271523,0.924270347422359,0.4770642201834863,0.4819543903225637
NR-AhR,7,0.9185022026431718,0.9185022026431718,0.7857142857142857,0.3642384105960265,0.9214758751182592,0.4977375565610859,0.5003112107984918
NR-AhR,8,0.9177679882525698,0.9177679882525698,0.7746478873239436,0.3642384105960265,0.9214594692143212,0.4954954954954954,0.4958014232886324
NR-AhR,9,0.9185022026431718,0.9185022026431718,0.7941176470588235,0.3576158940397351,0.9211532256741459,0.4931506849315069,0.4988664881437896
NR-AhR,10,0.919236417033774,0.919236417033774,0.7808219178082192,0.3774834437086093,0.921989926774982,0.5089285714285715,0.5078056394240911
NR-AhR,11,0.92143906020558,0.92143906020558,0.8142857142857143,0.3774834437086093,0.9192884212598642,0.5158371040723982,0.5214931775099481
NR-AhR,12,0.9162995594713657,0.9162995594713657,0.7534246575342466,0.3642384105960265,0.9213829083292774,0.4910714285714286,0.487039361154868
NR-AhR,13,0.9177679882525698,0.9177679882525698,0.7671232876712328,0.3708609271523179,0.9201032478221164,0.4999999999999999,0.4974225002894795
NR-AhR,14,0.919236417033774,0.919236417033774,0.8059701492537313,0.3576158940397351,0.9192774839905721,0.4954128440366973,0.5035802944067493
NR-AhR,15,0.919970631424376,0.919970631424376,0.8,0.3708609271523179,0.9219352404285224,0.5067873303167422,0.51090219415422
NR-AhR,16,0.919236417033774,0.919236417033774,0.7887323943661971,0.3708609271523179,0.9218914913513544,0.5045045045045046,0.5063216298430127
NR-AhR,17,0.9177679882525698,0.9177679882525698,0.7910447761194029,0.3509933774834437,0.9189712404503968,0.4862385321100917,0.4927673423646565
NR-AhR,18,0.9177679882525698,0.9177679882525698,0.7746478873239436,0.3642384105960265,0.9192993585291559,0.4954954954954954,0.4958014232886324
NR-AhR,19,0.9185022026431718,0.9185022026431718,0.7941176470588235,0.3576158940397351,0.9204805836126896,0.4931506849315069,0.4988664881437896
NR-ER,0,0.9190887666928516,0.9190887666928516,0.8333333333333334,0.2032520325203252,0.7705266878755745,0.32679738562091504,0.3873907547803926
NR-ER,1,0.9190887666928516,0.9190887666928516,0.8571428571428571,0.1951219512195122,0.7758147755390599,0.3178807947019867,0.3860400024310262
