method,assay,round,bin,MCC
dnn,NR-AR-LBD,19,2-3,0.0
dnn,NR-AR-LBD,19,>3,0.5601272632306572
dnn,NR-AhR,0,0-1,0.0
dnn,NR-AhR,0,2-3,-0.06451612903225806
dnn,NR-AhR,0,>3,0.5225171275892463
dnn,NR-AhR,1,0-1,0.0
dnn,NR-AhR,1,2-3,-0.06451612903225806
dnn,NR-AhR,1,>3,0.5417325031438615
dnn,NR-AhR,2,0-1,0.0
dnn,NR-AhR,2,2-3,-0.06451612903225806
dnn,NR-AhR,2,>3,0.5505247157039842
dnn,NR-AhR,3,0-1,0.0
dnn,NR-AhR,3,2-3,-0.06451612903225806
dnn,NR-AhR,3,>3,0.543573641456596
dnn,NR-AhR,4,0-1,0.0
dnn,NR-AhR,4,2-3,-0.08032193289024989
dnn,NR-AhR,4,>3,0.5399818883340437
dnn,NR-AhR,5,0-1,0.0
dnn,NR-AhR,5,2-3,-0.04490132550669373
dnn,NR-AhR,5,>3,0.5413409321934628
dnn,NR-AhR,6,0-1,0.0
dnn,NR-AhR,6,2-3,-0.08032193289024989
dnn,NR-AhR,6,>3,0.5446308158320768
dnn,NR-AhR,7,0-1,0.0
dnn,NR-AhR,7,2-3,-0.04490132550669373
dnn,NR-AhR,7,>3,0.4776785317290429
dnn,NR-AhR,8,0-1,0.0
dnn,NR-AhR,8,2-3,-0.06451612903225806
dnn,NR-AhR,8,>3,0.5176750628123711
dnn,NR-AhR,9,0-1,0.0
dnn,NR-AhR,9,2-3,-0.08032193289024989
dnn,NR-AhR,9,>3,0.5552143074763531
dnn,NR-AhR,10,0-1,0.0
dnn,NR-AhR,10,2-3,-0.06451612903225806
dnn,NR-AhR,10,>3,0.5358465190569774
dnn,NR-AhR,11,0-1,0.0
dnn,NR-AhR,11,2-3,-0.04490132550669373
dnn,NR-AhR,11,>3,0.480620029807483
dnn,NR-AhR,12,0-1,0.0
dnn,NR-AhR,12,2-3,-0.08032193289024989
dnn,NR-AhR,12,>3,0.5265997949770105
dnn,NR-AhR,13,0-1,0.0
dnn,NR-AhR,13,2-3,-0.04490132550669373
dnn,NR-AhR,13,>3,0.5098533901038494
dnn,NR-AhR,14,0-1,0.0
dnn,NR-AhR,14,2-3,-0.08032193289024989
dnn,NR-AhR,14,>3,0.5367411827880719
dnn,NR-AhR,15,0-1,0.0
dnn,NR-AhR,15,2-3,-0.04490132550669373
dnn,NR-AhR,15,>3,0.5403411669574442
dnn,NR-AhR,16,0-1,0.0
dnn,NR-AhR,16,2-3,-0.06451612903225806
dnn,NR-AhR,16,>3,0.5399818883340437
dnn,NR-AhR,17,0-1,0.0
dnn,NR-AhR,17,2-3,-0.08032193289024989
dnn,NR-AhR,17,>3,0.5272573415400774
dnn,NR-AhR,18,0-1,0.0
dnn,NR-AhR,18,2-3,-0.04490132550669373
dnn,NR-AhR,18,>3,0.557405174557255
dnn,NR-AhR,19,0-1,0.0
dnn,NR-AhR,19,2-3,-0.06451612903225806
dnn,NR-AhR,19,>3,0.4984294332630249
dnn,NR-ER,0,0-1,0.0
dnn,NR-ER,0,2-3,-0.14484136487558028
dnn,NR-ER,0,>3,0.28217070814351114
dnn,NR-ER,1,0-1,0.0
dnn,NR-ER,1,2-3,-0.14484136487558028
dnn,NR-ER,1,>3,0.33133191339354945
dnn,NR-ER,2,0-1,0.0
dnn,NR-ER,2,2-3,0.0
dnn,NR-ER,2,>3,0.3149609387138069
dnn,NR-ER,3,0-1,0.0
dnn,NR-ER,3,2-3,-0.14484136487558028
dnn,NR-ER,3,>3,0.3308712635156685
dnn,NR-ER,4,0-1,0.0
dnn,NR-ER,4,2-3,0.0
dnn,NR-ER,4,>3,0.3017562206596735
dnn,NR-ER,5,0-1,0.0
dnn,NR-ER,5,2-3,0.0
dnn,NR-ER,5,>3,0.3338225900699194
dnn,NR-ER,6,0-1,0.0
dnn,NR-ER,6,2-3,-0.14484136487558028
dnn,NR-ER,6,>3,0.3261716953217081
dnn,NR-ER,7,0-1,0.0
dnn,NR-ER,7,2-3,-0.14484136487558028
dnn,NR-ER,7,>3,0.3175929545703044
dnn,NR-ER,8,0-1,0.0
dnn,NR-ER,8,2-3,-0.14484136487558028
dnn,NR-ER,8,>3,0.3261716953217081
dnn,NR-ER,9,0-1,0.0
dnn,NR-ER,9,2-3,0.0
dnn,NR-ER,9,>3,0.33226841323196077
dnn,NR-ER,10,0-1,0.0
dnn,NR-ER,10,2-3,-0.14484136487558028
dnn,NR-ER,10,>3,0.29278966443962934
dnn,NR-ER,11,0-1,0.0
dnn,NR-ER,11,2-3,0.0
dnn,NR-ER,11,>3,0.33566480275114785
dnn,NR-ER,12,0-1,0.0
dnn,NR-ER,12,2-3,-0.14484136487558028
dnn,NR-ER,12,>3,0.3410643537829408
dnn,NR-ER,13,0-1,0.0
dnn,NR-ER,13,2-3,-0.14484136487558028
dnn,NR-ER,13,>3,0.3184394796245247
dnn,NR-ER,14,0-1,0.0
dnn,NR-ER,14,2-3,-0.14484136487558028
dnn,NR-ER,14,>3,0.3454660287299165
dnn,NR-ER,15,0-1,0.0
dnn,NR-ER,15,2-3,0.0
dnn,NR-ER,15,>3,0.28614376300402694
dnn,NR-ER,16,0-1,0.0
dnn,NR-ER,16,2-3,0.0
dnn,NR-ER,16,>3,0.32675338440761564
dnn,NR-ER,17,0-1,0.0
dnn,NR-ER,17,2-3,-0.14484136487558028
dnn,NR-ER,17,>3,0.30644422437033036
dnn,NR-ER,18,0-1,0.0
dnn,NR-ER,18,2-3,-0.14484136487558028
dnn,NR-ER,18,>3,0.3410643537829408
dnn,NR-ER,19,0-1,0.0
dnn,NR-ER,19,2-3,-0.14484136487558028
dnn,NR-ER,19,>3,0.2941123803464058
dnn,NR-ER-LBD,0,0-1,0.0
