target_assay,auxilliary_assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
NR-AR,NR-AR-LBD,0,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7747920194360599,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,1,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7685341971582124,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,2,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7749981594640359,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,3,0.9839142091152815,0.7549731281749246,0.96,0.5106382978723404,0.7722888905249209,0.6666666666666666,0.6939404431808639
NR-AR,NR-AR-LBD,4,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7783552970625046,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,5,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7690642715158654,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,6,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7705219759994111,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,7,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7739969078995804,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,8,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7751454023411618,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,9,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7714643304130162,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,10,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7743502908046823,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,11,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7804608702054038,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,12,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7686078185967754,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,13,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7729514834719872,0.6575342465753424,0.6797728664901532
NR-AR,NR-AR-LBD,14,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.778973717146433,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,15,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7746595008466466,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,16,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7683427814179489,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,17,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7683280571302363,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,18,0.982573726541555,0.7542810866524332,0.8888888888888888,0.5106382978723404,0.7843039092983877,0.6486486486486487,0.6663865339348496
NR-AR,NR-AR-LBD,19,0.9832439678284183,0.7546271074136788,0.9230769230769231,0.5106382978723404,0.7656555989104027,0.6575342465753424,0.6797728664901532
NR-AR,NR-AhR,0,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7682176249723921,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,1,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7583670764926747,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,2,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7660973275417803,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,3,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7573511006405065,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,4,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.764521828756534,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,5,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7621512184348082,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,6,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7605609953618494,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,7,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7541559302068764,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,8,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7605168224987117,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,9,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7607818596775382,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,10,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7639034086726055,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,11,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7644334830302584,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,12,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7550541117573437,0.5675675675675675,0.5800277474647032
NR-AR,NR-AhR,13,0.9785522788203753,0.7213281307516749,0.7777777777777778,0.44680851063829785,0.7629021571081498,0.5675675675675675,0.5800277474647032
