assay,run,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA1535,6,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.9796904812380749,0.7524752475247525,0.7257199827220046
TA1535,7,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.980114479542082,0.7524752475247525,0.7257199827220046
TA1535,8,0.9477911646586346,0.9477911646586346,0.7872340425531915,0.6981132075471698,0.9800720797116812,0.74,0.7126838666930707
TA1535,9,0.9518072289156626,0.9518072289156626,0.7959183673469388,0.7358490566037735,0.9801568793724826,0.7647058823529412,0.7386112565646952
TA1535,10,0.9538152610441768,0.9538152610441768,0.8125,0.7358490566037735,0.9807080771676912,0.7722772277227722,0.7477839968487175
TA1535,11,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.9804536781852872,0.7524752475247525,0.7257199827220046
TA1535,12,0.9518072289156626,0.9518072289156626,0.7959183673469388,0.7358490566037735,0.9799024803900784,0.7647058823529412,0.7386112565646952
TA1535,13,0.9538152610441768,0.9538152610441768,0.8,0.7547169811320755,0.9801568793724824,0.7766990291262137,0.7513640089539566
TA1535,14,0.9518072289156626,0.9518072289156626,0.7959183673469388,0.7358490566037735,0.980241679033284,0.7647058823529412,0.7386112565646952
TA1535,15,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.9804112783548864,0.7524752475247525,0.7257199827220046
TA1535,16,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.9799024803900784,0.7524752475247525,0.7257199827220046
TA1535,17,0.9477911646586346,0.9477911646586346,0.7872340425531915,0.6981132075471698,0.9800720797116812,0.74,0.7126838666930707
TA1535,18,0.9558232931726908,0.9558232931726908,0.8163265306122449,0.7547169811320755,0.9809200763196948,0.7843137254901962,0.7604732717664318
TA1535,19,0.9497991967871486,0.9497991967871486,0.7916666666666666,0.7169811320754716,0.980750476998092,0.7524752475247525,0.7257199827220046
TA1535_S9,0,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9505765199161426,0.7466666666666667,0.7432534704770414
TA1535_S9,1,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9516247379454928,0.7466666666666667,0.7432534704770414
TA1535_S9,2,0.9552238805970148,0.9552238805970148,0.9285714285714286,0.5777777777777777,0.9500524109014674,0.7123287671232876,0.7123469578885215
TA1535_S9,3,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9505765199161426,0.7466666666666667,0.7432534704770414
TA1535_S9,4,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.95,0.7466666666666667,0.7432534704770414
TA1535_S9,5,0.957356076759062,0.957356076759062,0.9310344827586208,0.6,0.9506813417190776,0.7297297297297297,0.727926184740721
TA1535_S9,6,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9516247379454928,0.7466666666666667,0.7432534704770414
TA1535_S9,7,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9517819706498952,0.7466666666666667,0.7432534704770414
TA1535_S9,8,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9508909853249476,0.7466666666666667,0.7432534704770414
TA1535_S9,9,0.9616204690831556,0.9616204690831556,0.935483870967742,0.6444444444444445,0.9519392033542976,0.763157894736842,0.7583440406491806
TA1535_S9,10,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9492662473794548,0.7466666666666667,0.7432534704770414
TA1535_S9,11,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9520440251572329,0.7466666666666667,0.7432534704770414
TA1535_S9,12,0.957356076759062,0.957356076759062,0.9310344827586208,0.6,0.9522536687631028,0.7297297297297297,0.727926184740721
TA1535_S9,13,0.9594882729211088,0.9594882729211088,0.9333333333333332,0.6222222222222222,0.9508909853249476,0.7466666666666667,0.7432534704770414
TA1535_S9,14,0.957356076759062,0.957356076759062,0.9310344827586208,0.6,0.9509433962264152,0.7297297297297297,0.727926184740721
TA1535_S9,15,0.957356076759062,0.957356076759062,0.9310344827586208,0.6,0.9546645702306078,0.7297297297297297,0.727926184740721
TA1535_S9,16,0.957356076759062,0.957356076759062,0.9310344827586208,0.6,0.9511530398322852,0.7297297297297297,0.727926184740721
TA1535_S9,17,0.9616204690831556,0.9616204690831556,0.935483870967742,0.6444444444444445,0.9531970649895176,0.763157894736842,0.7583440406491806
TA1535_S9,18,0.957356076759062,0.957356076759062,0.9310344827586208,0.6,0.9538784067085956,0.7297297297297297,0.727926184740721
TA1535_S9,19,0.9594882729211088,0.9594882729211088,0.9642857142857144,0.6,0.9525681341719078,0.7397260273972602,0.7429021731116527
TA97,0,0.923809523809524,0.923809523809524,0.6666666666666666,0.5454545454545454,0.8839458413926499,0.6,0.5617943672066721
TA97,1,0.923809523809524,0.923809523809524,0.6666666666666666,0.5454545454545454,0.8827369439071566,0.6,0.5617943672066721
TA97,2,0.9285714285714286,0.9285714285714286,0.6842105263157895,0.5909090909090909,0.8781431334622825,0.6341463414634148,0.5967660121241672
TA97,3,0.923809523809524,0.923809523809524,0.6666666666666666,0.5454545454545454,0.8805609284332687,0.6,0.5617943672066721
TA97,4,0.9285714285714286,0.9285714285714286,0.6842105263157895,0.5909090909090909,0.88394584139265,0.6341463414634148,0.5967660121241672
TA97,5,0.9285714285714286,0.9285714285714286,0.6842105263157895,0.5909090909090909,0.8868471953578336,0.6341463414634148,0.5967660121241672
TA97,6,0.923809523809524,0.923809523809524,0.6666666666666666,0.5454545454545454,0.878384912959381,0.6,0.5617943672066721
TA97,7,0.923809523809524,0.923809523809524,0.6666666666666666,0.5454545454545454,0.8829787234042553,0.6,0.5617943672066721
TA97,8,0.923809523809524,0.923809523809524,0.65,0.5909090909090909,0.8781431334622823,0.6190476190476191,0.5776348921373052
TA97,9,0.9285714285714286,0.9285714285714286,0.6842105263157895,0.5909090909090909,0.8817698259187621,0.6341463414634148,0.5967660121241672
TA97,10,0.9285714285714286,0.9285714285714286,0.6842105263157895,0.5909090909090909,0.8868471953578336,0.6341463414634148,0.5967660121241672
TA97,11,0.923809523809524,0.923809523809524,0.6666666666666666,0.5454545454545454,0.8841876208897486,0.6,0.5617943672066721
