,XGB_AUC,XGB_MCC,XGB_sparse_AUC,XGB_sparse_MCC,XGB-FN_AUC,XGB-FN_MCC,XGB-FN_sparse_AUC,XGB-FN_sparse_MCC,Macau_AUC,Macau_MCC,Macau_sparse_AUC,Macau_sparse_MCC
ACEA_T47D_80hr_Negative,0.7148368659204573,0.3548404833604303,0.7131221719457015,0.2342267502883551,0.8969754703500833,0.5956148028913842,0.8540128602048107,0.5454088717330703,0.9248392474398667,0.6755736494309099,0.9083591331269351,0.63135109937678
ACEA_T47D_80hr_Positive,0.6269805194805196,0.3537420083621026,0.6239935064935065,0.3736403396622116,0.7107142857142859,0.3736403396622116,0.6764285714285714,0.3453616688443296,0.74,0.3856242203771188,0.7345454545454546,0.36508575515595965
APR_HepG2_CellCycleArrest_24h_dn,0.5710637548432546,0.09481714758350299,0.5710637548432546,0.09481714758350299,0.9073617470940472,0.3952325350028091,0.9040154984149348,0.40904716307045674,0.9174004931313843,0.47069808967280885,0.9075378654455794,0.40601701141389296
APR_HepG2_CellCycleArrest_72h_dn,0.6429983060417842,0.054111613016472986,0.6429983060417842,0.054111613016472986,0.9160079051383399,0.6047430830039525,0.909373235460192,0.5830953593742347,0.9267363071710898,0.6053889931372801,0.9302653867871259,0.6562330545973509
APR_HepG2_CellLoss_24h_dn,0.6989326463010673,0.1943172122223201,0.6989326463010673,0.1943172122223201,0.9656483867010184,0.7574164538237643,0.9638081217028585,0.7468671973263985,0.9639308060360692,0.7710376567867997,0.9620905410379095,0.7574164538237643
APR_HepG2_CellLoss_72h_dn,0.6275191815856778,0.20767305044598436,0.6275191815856778,0.20767305044598436,0.9781074168797953,0.8158567774936062,0.9725831202046036,0.8154616497047151,0.9742199488491048,0.8567774936061381,0.9740153452685422,0.8770446566050083
APR_HepG2_MicrotubuleCSK_24h_dn,0.5712918660287081,0.0,0.5712918660287081,0.0,0.9157894736842106,0.1223385702339457,0.939712918660287,0.4166476316650959,0.9344497607655501,0.6004813429320033,0.9502392344497608,0.0
APR_HepG2_MicrotubuleCSK_24h_up,0.6798724954462659,0.08006907367244843,0.6798724954462659,0.08006907367244843,0.928354584092289,0.5693111982613448,0.9365513054037644,0.32056640843239864,0.8870673952641166,0.38178398438222644,0.8852459016393444,0.2048278628830076
APR_HepG2_MicrotubuleCSK_72h_dn,0.6079241614000972,-0.017279947800812524,0.6079241614000972,-0.017279947800812524,0.8274185707340788,0.21437323142813605,0.8575595527467186,0.1923569284162098,0.8590179873602334,0.3825674028697353,0.8381137578998542,0.3825674028697353
APR_HepG2_MicrotubuleCSK_72h_up,0.5454545454545455,-0.07294682725762576,0.5454545454545455,-0.07294682725762576,0.8927272727272727,0.250195270059554,0.8966233766233767,0.3353067230194275,0.8792207792207793,0.19311911019772784,0.9044155844155845,0.21851940633373554
APR_HepG2_MitoMass_24h_dn,0.4940814393939394,-0.04556976628693896,0.4940814393939394,-0.04556976628693896,0.9573863636363638,0.636572388047428,0.9633049242424243,0.6515924749793837,0.9528882575757576,0.529043268444822,0.9517045454545454,0.49434033210740863
APR_HepG2_MitoMass_72h_dn,0.6258169934640523,-0.031123318728261753,0.6258169934640523,-0.031123318728261753,0.8689542483660131,0.4230571077487799,0.8509803921568627,0.34070310554867156,0.9098039215686274,0.2952257177159054,0.9045751633986929,0.18028606081860626
APR_HepG2_MitoMass_72h_up,0.6741347905282332,0.16195526603578322,0.6741347905282332,0.16195526603578322,0.7245901639344263,0.16195526603578322,0.6834244080145719,0.16195526603578322,0.7759562841530054,0.0,0.7475409836065574,0.0
APR_HepG2_MitoMembPot_24h_dn,0.7183265582655826,0.21246812391342154,0.7183265582655826,0.21246812391342154,0.7994579945799458,0.2935887031497963,0.7757452574525745,0.3206482072459792,0.7957317073170732,0.2935887031497963,0.8275745257452574,0.2619433383706323
APR_HepG2_MitoMembPot_72h_dn,0.5259391771019678,0.05045986630792859,0.5259391771019678,0.05045986630792859,0.7967352415026834,0.13052672653350317,0.7989713774597496,0.19297318883725245,0.8043381037567084,0.12804631439390488,0.8034436493738819,0.12804631439390488
APR_HepG2_MitoticArrest_24h_up,0.6780181009357263,0.14928555430262705,0.6780181009357263,0.14928555430262705,0.9829728485964105,0.8365628563812795,0.9812854732320908,0.8195676139656515,0.9765301426599172,0.7816658210362413,0.9799048933885566,0.8420300849248072
APR_HepG2_MitoticArrest_72h_up,0.6908831908831908,0.23871464551778548,0.6908831908831908,0.23871464551778548,0.9377104377104377,0.6829853674177722,0.9422429422429422,0.7240097696864968,0.9311059311059311,0.6233688050997337,0.9364154364154365,0.66705077362771
APR_HepG2_NuclearSize_24h_dn,0.7900432900432901,-0.017101684979879798,0.7900432900432901,-0.017101684979879798,0.974025974025974,0.19617567910104367,0.9725829725829727,0.0,0.922077922077922,0.2938380419270256,0.9389129389129389,0.2938380419270256
