assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA98_S9,0,0.9013563501849567,0.8517827529021559,0.8478260869565217,0.75,0.9421721520602117,0.7959183673469389,0.7335879356953166
TA98_S9,1,0.8914919852034525,0.8467239124888378,0.8092783505154639,0.7548076923076923,0.9435195815792832,0.7810945273631842,0.7098403242383672
TA98_S9,2,0.8988902589395807,0.8579976718969257,0.8214285714285714,0.7740384615384616,0.9460789003699452,0.7970297029702971,0.7303565492656617
TA98_S9,3,0.9025893958076447,0.8620598928434751,0.8307692307692308,0.7788461538461539,0.946230386528894,0.803970223325062,0.7399341573680243
TA98_S9,4,0.8988902589395807,0.8579976718969257,0.8214285714285714,0.7740384615384616,0.9426505294042608,0.7970297029702971,0.7303565492656617
TA98_S9,5,0.9001233045622689,0.8588268592932773,0.8256410256410256,0.7740384615384616,0.9440856614364078,0.7990074441687345,0.7333268749736103
TA98_S9,6,0.8951911220715166,0.8555101097078709,0.8090452261306532,0.7740384615384616,0.9459513330781988,0.7911547911547911,0.7215559716514979
TA98_S9,7,0.9062885326757091,0.8613981375175406,0.851063829787234,0.7692307692307693,0.93984404898584,0.8080808080808081,0.7479684534772306
TA98_S9,8,0.9025893958076447,0.8683585278734532,0.8177339901477833,0.7980769230769231,0.9460390355912744,0.807785888077859,0.7426620623719015
TA98_S9,9,0.903822441430333,0.8739116915422885,0.8125,0.8125,0.9448909299655568,0.8125,0.7478233830845771
TA98_S9,10,0.9025893958076447,0.8652092103584641,0.8241206030150754,0.7884615384615384,0.9428020155632096,0.8058968058968059,0.7412416115333994
TA98_S9,11,0.8976572133168927,0.8540191669855849,0.8238341968911918,0.7644230769230769,0.9418053960964408,0.7930174563591021,0.7260628281907292
TA98_S9,12,0.9025893958076447,0.8573359165709912,0.8412698412698413,0.7644230769230769,0.9432803929072586,0.801007556675063,0.7381946528124921
TA98_S9,13,0.9001233045622689,0.8651254943232555,0.8128078817733991,0.7932692307692307,0.94453214695752,0.802919708029197,0.7361438167431963
