target_assay,auxilliary_assay,round,accuracy,balanced_accuracy,precision,recall,AUC,F1,MCC
TA100,TA100_S9,0,0.8767567567567568,0.8307288085086875,0.8232758620689655,0.7234848484848485,0.9188757850822904,0.7701612903225807,0.6891188114365447
TA100,TA100_S9,1,0.8789189189189189,0.8356541970384633,0.8220338983050848,0.7348484848484849,0.9192138862146427,0.7759999999999999,0.6954391861869976
TA100,TA100_S9,2,0.8789189189189189,0.8345166872965663,0.8247863247863247,0.7310606060606061,0.9197124421216705,0.7751004016064257,0.6950299569106455
TA100,TA100_S9,3,0.8810810810810811,0.834892036858754,0.8347826086956521,0.7272727272727273,0.9217754320817861,0.7773279352226721,0.6998116844692948
TA100,TA100_S9,4,0.8810810810810811,0.8394420758263421,0.8235294117647058,0.7424242424242424,0.920915852931738,0.7808764940239044,0.7013446951950913
TA100,TA100_S9,5,0.8745945945945945,0.8292159492046027,0.8162393162393162,0.7234848484848485,0.9172368541695319,0.7670682730923696,0.6840165399196246
TA100,TA100_S9,6,0.8810810810810811,0.836029546600651,0.8318965517241379,0.7310606060606061,0.9164575024068214,0.778225806451613,0.7001636259180578
TA100,TA100_S9,7,0.8789189189189189,0.8379292165222574,0.8166666666666667,0.7424242424242424,0.9192138862146425,0.7777777777777778,0.6963178424196518
TA100,TA100_S9,8,0.8789189189189189,0.8345166872965663,0.8247863247863247,0.7310606060606061,0.9191737725209738,0.7751004016064257,0.6950299569106455
TA100,TA100_S9,9,0.8832432432432432,0.8386799156466327,0.8362068965517241,0.7348484848484849,0.9181881217622517,0.782258064516129,0.7056860331588143
TA100,TA100_S9,10,0.8778378378378379,0.833760257644524,0.8212765957446808,0.7310606060606061,0.9201021180030258,0.7735470941883767,0.6924825505268115
TA100,TA100_S9,11,0.8810810810810811,0.836029546600651,0.8318965517241379,0.7310606060606061,0.9238212304589006,0.778225806451613,0.7001636259180578
TA100,TA100_S9,12,0.8724324324324324,0.826565580158621,0.811965811965812,0.7196969696969697,0.9183428460092606,0.7630522088353413,0.6785098314241143
TA100,TA100_S9,13,0.8789189189189189,0.8345166872965663,0.8247863247863247,0.7310606060606061,0.9178614816852336,0.7751004016064257,0.6950299569106455
TA100,TA100_S9,14,0.8681081081081081,0.8212648420666575,0.8034188034188035,0.7121212121212122,0.9178156374638977,0.7550200803212852,0.6674964144330934
TA100,TA100_S9,15,0.8756756756756757,0.827697359372851,0.8253275109170306,0.7159090909090909,0.9184603218264338,0.7667342799188642,0.6857775594106564
TA100,TA100_S9,16,0.88,0.8352731169486086,0.8283261802575107,0.7310606060606061,0.919534795763994,0.7766599597585514,0.6975902678609619
TA100,TA100_S9,17,0.8778378378378379,0.8326227479026269,0.8240343347639485,0.7272727272727273,0.9194087241553203,0.7726358148893361,0.6920757438527629
TA100,TA100_S9,18,0.8713513513513513,0.8246716407646817,0.8111587982832618,0.7159090909090909,0.9158787191124559,0.76056338028169,0.6755321718281659
TA100,TA100_S9,19,0.8778378378378379,0.8326227479026269,0.8240343347639485,0.7272727272727273,0.9198728968963462,0.7726358148893361,0.6920757438527629
TA100,TA1535,0,0.8540540540540541,0.7932311007197543,0.8,0.6515151515151515,0.8816617384128731,0.7181628392484342,0.6270386558216777
TA100,TA1535,1,0.8475675675675676,0.7886925228075001,0.7782805429864253,0.6515151515151515,0.8857877183331041,0.709278350515464,0.6114849297092482
TA100,TA1535,2,0.8497297297297297,0.7924804015953789,0.7802690582959642,0.6590909090909091,0.8812577362123504,0.7145790554414784,0.617601684160315
TA100,TA1535,3,0.8432432432432433,0.7845292944574336,0.7668161434977578,0.6477272727272727,0.8796445926740933,0.702258726899384,0.6008121244751246
TA100,TA1535,4,0.8497297297297297,0.7913428918534818,0.7828054298642534,0.6553030303030303,0.8822691743455737,0.7134020618556701,0.6170987250165356
TA100,TA1535,5,0.8454054054054054,0.7871796635034154,0.7713004484304933,0.6515151515151515,0.8824009764819145,0.7063655030800822,0.606408644370188
TA100,TA1535,6,0.84,0.7811224957594095,0.7589285714285714,0.6439393939393939,0.8781345986338421,0.6967213114754098,0.5927141159910241
TA100,TA1535,7,0.8518918918918919,0.7928557511575666,0.7899543378995434,0.6553030303030303,0.8787706872048778,0.7163561076604555,0.6222458919671779
TA100,TA1535,8,0.8497297297297297,0.7936179113372759,0.7777777777777778,0.6628787878787878,0.8845155411910328,0.7157464212678936,0.618123072599494
TA100,TA1535,9,0.8464864864864865,0.7867985834135607,0.7772727272727272,0.6477272727272727,0.8837161325814882,0.7066115702479339,0.6084204343828383
TA100,TA1535,10,0.841081081081081,0.7784663961857607,0.7695852534562212,0.6325757575757576,0.8799884243341127,0.6943866943866943,0.5935522934901934
TA100,TA1535,11,0.8454054054054054,0.7826296245358273,0.7813953488372093,0.6363636363636364,0.8824754733415852,0.7014613778705636,0.604368702464826
TA100,TA1535,12,0.8464864864864865,0.7879360931554578,0.7747747747747747,0.6515151515151515,0.8821746206390684,0.7078189300411522,0.608940201727054
TA100,TA1535,13,0.8464864864864865,0.7856610736716636,0.7798165137614679,0.6439393939393939,0.8783609544766883,0.7053941908713691,0.6079191150800453
TA100,TA1535,14,0.8508108108108108,0.7943743409893183,0.78125,0.6628787878787878,0.8827505386696006,0.7172131147540983,0.620654091799354
TA100,TA1535,15,0.8443243243243244,0.7818731948837849,0.7777777777777778,0.6363636363636364,0.8800399990831156,0.7000000000000001,0.601778231501171
TA100,TA1535,16,0.8486486486486486,0.7905864622014396,0.7792792792792793,0.6553030303030303,0.8829912208316143,0.7119341563786008,0.6145453214042176
