TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles
0.0,1.0,,0.0,,,0.0,0.0,0.0,0.0,,,C(=Nc1ccccc1)c1cccc2cccnc12
1.0,,1.0,,,,,,,,,,C(CC1CO1)C1CO1
,,,,,,,,,,1.0,1.0,C(CCC1CO1)CC1CO1
,,1.0,1.0,,,,,,,,,C(CCOCC1CO1)COCC1CO1
1.0,,,,,,,,,,,,C(COCC1CO1)OCC1CO1
0.0,0.0,,,,,0.0,,,,,,C1=C2CCCC(=CC3OC13)O2
,1.0,,,,,,1.0,,,,,C1=C2c3ccccc3CCC2CCC1
1.0,,,,,,0.0,,,,,,C1=CC23CCCC2(C=C1)O3
,,,,,,1.0,1.0,,,,,C1=CC2=C3OC3=C3c4c(ccc5ccccc45)CC(=C1)C23
,,,,,,1.0,1.0,,,,,C1=CC2=C3OC3=C3c4ccc5ccccc5c4CC(=C1)C23
1.0,,,,,,,,,,,,C1=CC2=C3OC3c3cc4c(cc3C2C=C1)c1c(c2ccccc24)O1
0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,C1=CC2C3C=CC(C3)C2C1
,1.0,,,,,,1.0,,,,,C1=CC2CCCCC2c2ccccc21
0.0,1.0,0.0,,,,0.0,,,,,,C1=CC2OC2C=C1
0.0,0.0,,,,,0.0,,,,,,C1=CC2OC2C=CO1
,,,,,,0.0,1.0,,,,,C1=CC2OC2c2ccc3c4c5c(cccc5cc3c21)C=C4
0.0,0.0,,,,,,,,,,,C1=CC2OC2c2cccnc21
0.0,1.0,,,,,,,,,,,C1=CC2OC2c2ncccc21
0.0,0.0,0.0,0.0,,,,,,,,,C1=CCCC2OC2CCC=CCC1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,C1=CCCC=CCC1
,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,C1=CCCCC1
,1.0,,,,,,,,,,,C1=COc2c(c3cc4ccccc4cc3c3ccccc23)C=C1
,,,,,,,1.0,,1.0,,,C1=Cc2c(cc3ccc4cccc5ccc2c3c45)CC1
,1.0,,,,,,,,,,,C1=Cc2c(ccc3ccc4ccccc4c23)C1
,,,,,,,1.0,,,,,C1=Cc2c3c1cccc3cc1ccc3ccccc3c21
,,,,,,1.0,1.0,,,,,C1=Cc2c3cc4ccccc4cc3cc3cccc1c23
,,,,,,,1.0,,,,,C1=Cc2c3ccc4ccccc4c3cc3cccc1c23
,,,,,,1.0,1.0,,,,,C1=Cc2c3ccccc3cc3cc4ccccc4c1c23
,,0.0,0.0,,,1.0,1.0,0.0,1.0,,,C1=Cc2c3ccccc3cc3cccc1c23
,1.0,,0.0,,,0.0,1.0,,1.0,,,C1=Cc2cc3c4ccccc4ccc3c3cccc1c23
0.0,1.0,,,,,0.0,1.0,,,,,C1=Cc2cc3ccccc3c3cccc1c23
,,,,,,1.0,1.0,,,,,C1=c2ccccc2=C2Cc3ccccc3C3=C4OC4=C1C32
1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,C1CC2OC2CC1C1CO1
0.0,,,,,,,,,,,,C1CC2OC2CCC2OC12
0.0,0.0,,,,,0.0,,0.0,,,,C1CCC(C2(C3CCCCC3)COCCOCCOCCOCCOCCOCCO2)CC1
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,C1CCC(NC2CCCCC2)CC1
,,,,,,,,,,,,C1CCC2(CC1)CO2
0.0,,,,,,,,,,,,C1CCC2CC3(CCC2C1)CO3
0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,C1CCC2CCCCC2C1
1.0,1.0,1.0,1.0,,,,,0.0,0.0,,,C1CCC2OC2C1
0.0,0.0,,,,,,0.0,0.0,,,,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1
0.0,0.0,,,,,0.0,,0.0,0.0,,,C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1
0.0,,,,,,0.0,0.0,,0.0,,,C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1
0.0,0.0,,0.0,,,,,,,,,C1CCCC2OC2CC1
0.0,0.0,0.0,0.0,,,,,,,,,C1CCCCCC2OC2CCCC1
0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,C1CCCNCC1
0.0,0.0,,,,,0.0,0.0,,,,,C1CCNC1
0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,C1CCOC1
0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,C1CN(SSN2CCOCC2)CCO1
,,,,,,0.0,0.0,0.0,,,,C1CN1
1.0,,,,,,1.0,,,,,,C1CN1c1nc(N2CC2)nc(N2CC2)n1
0.0,,,,,,0.0,,,,,,C1CN2CCN1CC2
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CNCCN1
,,1.0,,,,,,,,,,C1CO1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C1COC1
,,,,,,,,,,,,C1COCC2(C1)CO2
0.0,,,0.0,,,0.0,,0.0,0.0,,,C1COCCN1
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,C1COCCO1
0.0,0.0,,,,,0.0,,,0.0,,,C1COCCOCCOCCO1
0.0,0.0,,,,,0.0,,0.0,0.0,,,C1COCCOCCOCCOCCO1
,0.0,,,,,,0.0,0.0,0.0,,,C1COCCOCCOCCOCCOCCO1
,,,,,,0.0,0.0,0.0,0.0,,,C1COCCOCCOCCOCCOCCOCCO1
0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,C1COCO1
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1COCOC1
1.0,1.0,,,,,0.0,0.0,,,,,C1CS1
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1CSCCO1
,0.0,,0.0,,,,0.0,0.0,0.0,,,C1CSCCS1
1.0,,,,,,,,,,,,C1CSCN1
1.0,1.0,,,,,1.0,,,,,,C1CSCSC1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C1N2CN3CN1CN(C2)C3
1.0,,1.0,1.0,,,,0.0,0.0,0.0,1.0,,C1OC1C1CO1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C1OCOCO1
0.0,0.0,,,,,,,,,,,C=C(Br)C(=O)O
1.0,,,,,,,,,,,,C=C(Br)C(C)=O
1.0,1.0,1.0,,,,,,,,,,C=C(Br)C=O
,1.0,,,,,,,,,,,C=C(Br)CBr
,,,,,,,,,,,,C=C(Br)CCl
1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,,,C=C(C#N)C(=O)OC
0.0,0.0,,,,,,,,,,,C=C(C#N)C(=O)OCC
0.0,,,,,,,,,,,,C=C(C#N)C(=O)OCC(C)C
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C=C(C)C
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,C=C(C)C#N
0.0,0.0,,,,,0.0,0.0,,,,,C=C(C)C(=O)C(=CC(=O)O)OC
,0.0,0.0,,,,0.0,0.0,,,,,C=C(C)C(=O)O
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,C=C(C)C(=O)OC
0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,C=C(C)C(=O)OC(C)(C)C
0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OC(C)C
0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,C=C(C)C(=O)OCC
0.0,,0.0,1.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OCC(Br)CBr
0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,C=C(C)C(=O)OCC(C)(C)C
0.0,,0.0,0.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C
0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC(C)C
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C
0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,C=C(C)C(=O)OCC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)COC(=O)C(=C)C)cc2)cc1
1.0,1.0,1.0,,,,0.0,0.0,,,1.0,1.0,C=C(C)C(=O)OCC1CO1
0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OCCC
0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,C=C(C)C(=O)OCCCC
0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,C=C(C)C(=O)OCCCCC
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCC
0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,C=C(C)C(=O)OCCCCCCCC
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(C)C(=O)OCCCCCCCC(C)C
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCCCCCC
,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C
0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCCCCOC(=O)C(=C)C
0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OCCCCOC(=O)C(=C)C
,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)C(=O)OCCN(C)C
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(=O)OCCO
0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,C=C(C)C(=O)OCCOC(=O)C(=C)C
0.0,0.0,,,,,0.0,,,,0.0,0.0,C=C(C)C(=O)OCCOC(O)=NCCC(C)CC(C)(C)CN=C(O)OCCOC(=O)C(=C)C
0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,C=C(C)C(=O)OCCOCCOC(=O)C(=C)C
0.0,0.0,,,,,0.0,0.0,,,,0.0,C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C
0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C(C)=O
1.0,,,,,,,,,,,,C=C(C)C(C)Cl
0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,C=C(C)C(O)=N[N+](C)(C)CC(C)[O-]
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1
1.0,1.0,,,,,0.0,0.0,,,,,C=C(C)C1C=C2C(COC(=O)CCCCCCCCCCCCCCCCC)=CC=C2C(C)=CC1
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C1C=CC(C)C(=O)C1
0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,C=C(C)C1CC=C(C)C(O)C1
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,C=C(C)C1CC=C(C)CC1
,,,,0.0,0.0,,,,,0.0,0.0,C=C(C)C1CC=C(C=O)CC1
0.0,,,,,,0.0,0.0,,,,,C=C(C)C1CCC(C)c2c1cc(C)c(=O)c1c2C(=O)C(C)(O)C1
0.0,0.0,,,,,0.0,0.0,,,,,C=C(C)C1CCC(C)c2c1cc(C)c(=O)c1c2C(=O)C(C)C1
0.0,0.0,0.0,0.0,,,,,,,,,C=C(C)C1CCC2(C)OC2C1
0.0,,,,,,0.0,,,,,,C=C(C)C1CO1
0.0,1.0,,,,,0.0,1.0,,,,,C=C(C)C1Cc2c(cc(O)c3c(=O)c4ccccc4n(C)c23)O1
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,C=C(C)C=Cc1c(O)c(O)c2ccccc2c1O
1.0,1.0,,,,,,,,,,,C=C(C)C=O
,,,0.0,,,,0.0,0.0,0.0,,0.0,C=C(C)CC(C)(C)C
,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,C=C(C)CCl
0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,C=C(C)OC(C)=O
0.0,0.0,,,,,0.0,0.0,,,,,C=C(C)c1cc(O)c(C)cc1O
0.0,1.0,,,,,0.0,1.0,,,,,C=C(C)c1ccc(C)c2ccc(C=O)c-2c1
0.0,1.0,,,,,0.0,1.0,,,,,C=C(C)c1ccc(C)c2ccc(CO)c-2c1
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(C)c1ccccc1
1.0,1.0,,,,,,,,,,,C=C(C=O)CC
,1.0,,,,,,,,,,,C=C(C=O)CCC
1.0,1.0,,,,,,,,,,,C=C(C=O)CCCC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
0.0,1.0,0.0,,,,0.0,,,,0.0,0.0,C=C(CN(C)C)C(=O)c1ccccc1
0.0,0.0,,,,,,,,,,,C=C(Cl)C#N
1.0,,1.0,1.0,1.0,1.0,1.0,,0.0,,,0.0,C=C(Cl)CCl
,,,,,,,,,,,,C=C(Cl)CSC(=S)N(CC)CC
,1.0,,1.0,,1.0,0.0,,,0.0,,,C=C(Cl)Cl
0.0,,,,,,,,,,,,C=C(OC)C(CSCC(Br)c1ccccc1)N=C(O)CC
0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O
,0.0,0.0,0.0,,,,,0.0,,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O
,,,,,,,,,,,,C=C1C(=O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3
0.0,0.0,,,,,0.0,,,,,,C=C1C(=O)OC2C1CCC(C)C1=CCC(=O)C12C
,,,,,,,,,,,,C=C1C(=O)OC2CC3(C)C(CCC(C)=O)C3CC12
,0.0,,,,,,,,,,,C=C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1C)C23
1.0,,,,,,1.0,,,,,,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl
,,,,,,,,,,,,C=C1C(O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3
,,,,,,,0.0,,,,,C=C1C(O)C2OC3(CCC(C=CC(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)O)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCCCO2)CCC1C
,0.0,,,,,0.0,0.0,,,,,C=C1C2CCC(C2)C1(C)C
,,,,,,,,,,,,C=C1C2CCC3C4(C)CCCC(C)(C(=O)O)C4CCC3(C2)C1O
0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23
,,0.0,0.0,0.0,0.0,,0.0,,,,,C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23
0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O
