TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles,CAS
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C#CC1(OC(=O)CCCCCC)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,['3836-23-5']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C#CC1(OC(C)=O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,['51-98-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C#CCN=C(NC#N)NCCSCc1[nH]cnc1C,['71807-56-2']
1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,C#CCO,['107-19-7']
0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,C#CCOCCN1C=CC=CC1=C=NO,['131524-41-9']
0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,C#CCOCCN1C=CN(C)C1=C=NO,['128669-18-1']
0.0,1.0,,,,,,,,,,,C#CCOS(=O)(=O)c1ccc(C)cc1,['6165-76-0']
0.0,1.0,,,,,0.0,0.0,,,,,C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,['23031-38-1']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,C#N,"['143-33-9', '14402-89-2', '13755-32-3', '13746-66-2']"
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C(=Cc1ccccc1)c1ccccc1,"['103-30-0', '645-49-8']"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C(=NC1CCCCC1)=NC1CCCCC1,['538-75-0']
,,,,,,1.0,,,,,,C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12,['71439-68-4']
0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C(=Nc1ccccc1)c1cccc2cccnc12,['89060-18-4']
1.0,,1.0,,,,,,,,,,C(CC1CO1)C1CO1,['1888-89-7']
1.0,,1.0,,,,,,0.0,,1.0,1.0,C(CCC1CO1)CC1CO1,['2426-07-5']
1.0,1.0,1.0,1.0,,,,,,,,,C(CCOCC1CO1)COCC1CO1,['2425-79-8']
1.0,,1.0,,,,,,,,,,C(COCC1CO1)OCC1CO1,['2224-15-9']
0.0,0.0,,,,,0.0,0.0,,,,,C1=C2CCCC(=CC3OC13)O2,['67902-33-4']
,1.0,,,,,,1.0,,,,,C1=C2c3ccccc3CCC2CCC1,['62690-96-4']
1.0,,,,,,0.0,,,,,,C1=CC23CCCC2(C=C1)O3,['1488-21-7']
,,,,,,1.0,1.0,,,,,C1=CC2=C3OC3=C3c4c(ccc5ccccc45)CC(=C1)C23,['93673-33-7']
,,,,,,1.0,1.0,,,,,C1=CC2=C3OC3=C3c4ccc5ccccc5c4CC(=C1)C23,['93673-31-5']
1.0,,,,,,,,,,,,C1=CC2=C3OC3c3cc4c(cc3C2C=C1)c1c(c2ccccc24)O1,['55400-87-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1=CC2C3C=CC(C3)C2C1,['77-73-6']
,1.0,,,,,,1.0,,,,,C1=CC2CCCCC2c2ccccc21,['16804-85-6']
0.0,1.0,0.0,,,,0.0,0.0,,,,,C1=CC2OC2C=C1,['1488-25-1']
0.0,0.0,,,,,0.0,0.0,,,,,C1=CC2OC2C=CO1,['52748-31-9']
,,,,,,0.0,1.0,,,,,C1=CC2OC2c2ccc3c4c5c(cccc5cc3c21)C=C4,['130933-92-5']
0.0,0.0,,,,,,,,,,,C1=CC2OC2c2cccnc21,['130536-37-7']
0.0,1.0,,,,,,,,,,,C1=CC2OC2c2ncccc21,['130536-39-9']
0.0,0.0,0.0,0.0,,,,,,,,,C1=CCCC2OC2CCC=CCC1,['943-93-1']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,C1=CCCC=CCC1,"['1295-35-8', '12092-47-6']"
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C1=CCCCC1,['110-83-8']
,1.0,,,,,,,,,,,C1=COc2c(c3cc4ccccc4cc3c3ccccc23)C=C1,['132172-56-6']
,,,,,,,1.0,,1.0,,,C1=Cc2c(cc3ccc4cccc5ccc2c3c45)CC1,['17573-23-8']
,1.0,,,,,,,,,,,C1=Cc2c(ccc3ccc4ccccc4c23)C1,['183249-37-8']
,,,,,,,1.0,,,,,C1=Cc2c3c1cccc3cc1ccc3ccccc3c21,['211-91-6']
,,,,,,1.0,1.0,,,,,C1=Cc2c3cc4ccccc4cc3cc3cccc1c23,['16683-64-0']
,,,,,,0.0,1.0,,,,,C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,['202-33-5']
,,,,,,1.0,1.0,,,,,C1=Cc2c3ccccc3cc3cc4ccccc4c1c23,['19770-52-6']
0.0,1.0,0.0,0.0,,,1.0,1.0,0.0,1.0,,,C1=Cc2c3ccccc3cc3cccc1c23,['202-03-9']
,1.0,,0.0,,,0.0,1.0,,1.0,,,C1=Cc2cc3c4ccccc4ccc3c3cccc1c23,['216-48-8']
0.0,1.0,,,,,0.0,1.0,,,,,C1=Cc2cc3ccccc3c3cccc1c23,['201-06-9']
,,,,,,1.0,1.0,,,,,C1=c2ccccc2=C2Cc3ccccc3C3=C4OC4=C1C32,['93673-32-6']
1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,C1CC2OC2CC1C1CO1,['106-87-6']
0.0,,0.0,,,,,,,,,,C1CC2OC2CCC2OC12,['286-75-9']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1CCC(C2(C3CCCCC3)COCCOCCOCCOCCOCCOCCO2)CC1,['17455-21-9']
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,C1CCC(NC2CCCCC2)CC1,"['101-83-7', '3129-91-7']"
0.0,,,,,,,,,,,,C1CCC2(CC1)CO2,['185-70-6']
0.0,,,,,,,,,,,,C1CCC2CC3(CCC2C1)CO3,['7125-53-3']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,C1CCC2CCCCC2C1,['91-17-8']
1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,,C1CCC2OC2C1,['286-20-4']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,['16069-36-6']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1,['17455-23-1']
0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1,['17455-26-4']
